,User,Date,Compound,Positive,Negative,Neutral,Tweet Text,Tweets Ago
76,@NYTimes,Sun Aug 26 23:04:05 +0000 2018,-0.4,0.0,0.231,0.769,John McCain’s Parting Message: Our Greatness Is in Peril https://t.co/kkoTHUMnWe,2
77,@NYTimes,Sun Aug 26 23:03:22 +0000 2018,0.23,0.106,0.0,0.894,"With Republicans clinging to a 50-49 Senate majority, the Arizona governor's choice for John McCain's successor has… https://t.co/UQ6rDO682q",3
78,@NYTimes,Sun Aug 26 23:00:06 +0000 2018,0.36,0.116,0.0,0.884,"""It's literally the warehousing of human beings — like they were packages to be shipped off."" A look at the ""stash… https://t.co/i6r3yCmZpj",4
79,@NYTimes,Sun Aug 26 22:48:39 +0000 2018,0.25,0.083,0.0,0.917,"Night owls of the world unite. In a 24-hour economy, what if going to bed in the wee hours is actually an advantage? https://t.co/rqct1lLJH1",5
80,@NYTimes,Sun Aug 26 22:34:05 +0000 2018,0.4,0.13,0.0,0.87,"In @nytopinion,
Op-Ed contributor Miriam Pawel writes, ""Not every believer in the Party of California has been a gr… https://t.co/xJjmPbD3zT",6
81,@NYTimes,Sun Aug 26 22:27:35 +0000 2018,0.0,0.0,0.0,1.0,RT @PatriciaMazzei: Our running @nytimes story on the mass shooting at the Jacksonville Landing: https://t.co/Efl9De2gDs,7
82,@NYTimes,Sun Aug 26 21:45:10 +0000 2018,-0.48,0.067,0.146,0.787,"Catch up on the latest news about Elon Musk, John McCain's death, and other top stories, and get a look ahead, in y… https://t.co/Dlec9YkqO2",8
83,@NYTimes,Sun Aug 26 21:21:40 +0000 2018,0.0,0.0,0.0,1.0,RT @EricLiptonNYT: FOLLOW ALONG HERE--IT YOU EAT FRUIT &amp; VEGETABLES. My colleague @dannyhakim and I took a deep journey this summer into th…,9
84,@NYTimes,Sun Aug 26 21:00:13 +0000 2018,0.0,0.0,0.0,1.0,"Glenn Close says she went into her latest role, a woman who spends her life as a self-described ""kingmaker"" to her… https://t.co/x2NXBuUlXz",10
85,@NYTimes,Sun Aug 26 20:45:05 +0000 2018,0.0,0.0,0.0,1.0,"Police say a man shot last month in the Bronx is an associate of a well-known mafia family. ""The fact that they are… https://t.co/O3BouYHitn",11
